Offical Number,Release Date (m/d/y),Title,Guest(s),Length,Listens*,Category,Format,Panel,Guest Location,Venue,Link,Description,Notes,Total Number
199.25,8/26/2021,Comparing and Contrasting Professions,Kevin McConway,14:46:00,"2,917",Media,Short,"John, Richard",United Kingdom,Zoom,https://statsandstories.net/media1/comparing-and-contrasting-professions,"John talking about statistics with his journalism colleagues, Richard and Rosemary, is the basis of what brings this show together. But speaking about, and communicating statistical work with journalists, and understanding our interdisciplinary relationship in the era of fake news and misinformation is more important than ever. That's the focus of this week’s episode of Stats and Short Stories with guest Kevin McConway.",,210
199,8/19/2021,"Understanding ""Civic Statistics"" ",Iddo Gal,32:23:00,"3,192",Society,Long,"John, Rosemary, Richard",Israel,Zoom,https://statsandstories.net/society1/understanding-civic-statistics,"Being able to read and write is necessary to be successful in work, at home, and in civic life. Do parallel skills associated with critical reasoning from numbers and data carry similar weight? What do you need to know to be an informed consumer of numeric information,  and to use such information? That's the focus of this episode of Stats+Stories with guest Iddo Gal.",,209
198,8/5/2021,Sounding Human When Talking About Statistics ,Kevin McConway,33:41:00,"3,223",Media,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/media1/sounding-human-when-talking-about-statistics,Communicating statistics effectively can be a difficult task it can sometimes be hard to know how much information someone needs in order to understand a particular set of numbers. Jargon can be another stumbling block to clearly communicating what a statistical finding means. Communicating stats clearly is the focus of this episode of Stats and Stories with guest Kevin McConway,,208
197,7/29/2021,"The ""Key"" to a Successful Kickstarter","Moinak Bhaduri, Dominique Haughton, Piaomu Liu",25:35:00,"2,851",Entertainment,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/entertainment1/the-key-to-a-successful-kickstarter,"About 20 years ago, most people would have been unfamiliar with the term crowdfunding. Now, when it comes to the arts, you can crowdfund anything from comic books to Mystery Science Theater 3 Thousand to musical compositions. What it takes to successfully crowdfund a rock project is the focus of this episode of Stats and Stories with guests Moinak Bhaduri, Dominique Haughton and Piaomu Liu.",,207
196,7/22/2021,Record Linkage,Katie Harron,26:28:00,"3,101",Health,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/health1/record-linkage,"Our lives are framed by numbers tracking our performance in school, our financial health, and our physical and emotional wellbeing. While this information can help us figure out what we might do to improve a situation, it’s only part of the statistical story. There’s other information, other data, that might be useful as well. The importance of linking data is the focus of this episode of Stats and Stories, where we explore the statistics behind the stories and the stories behind the statistics with guest Katie Harron.",,206
195,7/15/2021,Building Back Better,Paul Allin,24:16:00,"2,766",Society,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/society1/building-back-better,"Over the course of the last year, statistics have framed our lives in very obvious ways. From COVID cases to unemployment rates, stats have helped us understand what’s happening in the wider world. As we contemplate how to “build back better” in the aftermath of the pandemic, official statistics could help guide our way, at least, that’s what the authors of a recent Significance Magazine article think. That’s the focus of this episode of Stats and Stories with guest Paul Allin.",,205
194,7/8/2021,"To P, or Not to P, That is the Question",Robert Matthews,35:09:00,"3,246",Methods,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/methods/to-p-or-not-to-p-that-is-the-question,"For years now, the utility of the P-value in scientific and statistical research has been under scrutiny – the debate shaped by concerns about the seeming over-reliance on p-values to decide what’s worth publishing or what’s worth pursuing. In 2016 the American Statistical Association released a statement on P-values, meant to remind readers that, “The P-values was never intended to be a substitute for scientific reasoning.” The statement also laid out six principles for how to approach P-values thoughtfully. The impact of that statement is the focus of this episode of Stats and Stories with guest Robert Matthews.",,204
193,7/1/2021,A Longitudinal Legacy,Nan Laird,31:28:00,"2,763",Methods,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/methods/a-longitudinal-legacy,"Every two years the International Prize in Statistics is given out to recognize an individual or team for major contributions to the field of statistics particularly those that have practical applications or which lead to breakthroughs in other disciplines. The winner is chosen in a collaboration between the American Statistical Association, the Institute for the Mathematical Sciences, the International Biometric Society, the International Statistical Institute, and the Royal Statistical Society. The 2021 honoree is Nan Laird and her award and career are the focus of this episode of Stats and Stories.",,203
192,6/24/2021,The Wonders of Astrostatistics,"Jessi Cisewski-Kehe, Chad Schafer",34:12:00,"2,675",Environment,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/environment1/the-wonders-of-astrostatistics,"The universe seems unbelievably vast, a sky filled with countless stars and worlds. Well, maybe not so countless as there’s a whole field devoted to crunching the numbers associated with an ever-expanding universe. Astrostatistics is the focus of this episode of Stats and Stories
",,202
,6/10/2021,#MemeMedianMode Contest Announcement,"Rosemary Pennington, John Bailer",3:17:00,"2,005",Education,Special,"John, Rosemary, Richard",United States,Studio,https://statsandstories.net/education1/statcom,,,201
191,6/3/2021,STATCOM,"Emily Morris, Tom Braun",25:40:00,"1,982",Education,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/education1/statcom,"Where are the best locations for food pantries? What are the patterns and use of a crisis call center? How can services be improved for the senior population of Wahtenaw County in Michigan? These questions share a common denominator, they represent data and analysis needs of community service organizations. Statistics in the service of the community is the focus of this episode of Stats and Stories with guests. Emily Morris and Tom Braun.",,200
190,5/27/2021,Big Data Soup,Xiao-Li Meng,27:41:00,"1,990",Methods,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/methods/big-data-soup,"Big data, though not new, is often talked about as though it is. It’s become something of a buzzword associated with everything from politics to record sales to epidemiology. But, not all big data is created the same, some of it might not even be that big at all. That’s the focus of this episode of Stats and Stories with guest Xiao-Li Meng.",,199
189,5/20/2021,The Impact of Remote Learning,Harrison Schramm,26:44:00,"1,893",Education,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/education1/the-impact-of-remote-learning,"Big data, though not new, is often talked about as though it is. It’s become something of a buzzword associated with everything from politics to record sales to epidemiology. But, not all big data is created the same, some of it might not even be that big at all. That’s the focus of this episode of Stats and Stories with guest Xiao-Li Meng.",,198
188,5/13/2021,Understanding What is Causing Bias Data,Charna Parkey,28:19:00,"2,075",Methods,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/methods/understanding-what-causes-data-bias,"Our modern understanding of big data and the increasingly sophisticated tools we have for analyzing them have opened up whole new worlds for exploration. And, sometimes, whole new avenues for the misuse of data, which has led some to wonder who should be responsible or held accountable for data misuse or data bias? That’s the focus of this episode of Stats and Stories with guest Charna Parkey.",,197
187,5/6/2021,The COVID Decade,Molly Morgan Jones,30:12:00,"1,926",Health,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/health1/the-covid-decade,"It’s been a little over a year of lockdowns, curfews, online schooling, mask wearing, worry and grief. The COVID-19 pandemic has brought with it an experience of collective trauma that researchers will be studying for years to come. The British Academy has launched one such study COVID-19 and Society: Shaping the COVID Decade. That’s the focus of this episode of Stats and Stories with guest Dr. Molly Morgan Jones.",,196
186,4/29/2021,Coding in the Classroom,James Dickens,26:08:00,"1,875",Education,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/education1/getting-coding-in-schools,"Data science is becoming an ever more visible and important part of our lives with universities around the US, working to create or strengthen data science programs. At the same time there's a growing recognition of the need for data science outreach, particularly in order to reach underrepresented populations. Data science outreach is the focus of this episode of stats and stories with guest James Dickens.",,195
185,4/22/2021,COVID-19 Vaccine Safety and Risk,Susan Ellenberg,27:55:00,"1,796",Health,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/health1/covid-19-vaccine-safety-and-risk,Last week the U.S. Food and Drug Administration and the Centers for Disease Control and Prevention announced a pause on the distribution and use of Johnson and Johnson’s COVID vaccine. The pause amid reports that 6 women who had received the vaccine had developed rare blood clots. The concern this has brought up around J&J’s vaccine mirrors earlier concerns raised in relation to the vaccine produced by AstraZeneca. Vaccine safety is a focus of this episode of Stats and Stories with guest Dr. Susan Ellenberg.,,194
184,4/15/2021,The Data Privacy Landscape is Changing,"Claire McKay Bowen, Joshua Snoke",27:12:00,"1,775",Methods,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/methods/the-data-privacy-landscape-is-changing,"Privacy is becoming an ever more potent concern as we grapple with the reality that our phones, computers, and our browser histories are filled with data that could reveal a lot about who we are – sometimes things we’d rather keep private. The issue of the privacy of data is not a new concern for researchers – in fact, whenever someone wants to work with people, oversight boards ask them about how they’ll keep data about participants private. But the data landscape for researchers and statisticians is changing and that’s the focus of this episode of Stats and Stories with guests Claire McKay Bowen and Joshua Snoke.
",,193
183,4/8/2021,Collaboration is the Best of Statistics,Walter Piegorsch,9:33:00,"1,672",Methods,Short,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/methods/collaboration-is-the-best-of-statistics,"The best thing about being a statistician,” he said, “is that you get to play in everyone's backyard.” That famous quote by John Tukey is optimized by our guest and the focus of this episode of Stats and Short Stories with guest Walter W. Piegorsch. (4/8/2021)",,192
182,4/1/2021,The Probability of the Next Terrorist Attack ,Walter Piegorsch,25:32:00,"2,057",Society,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/society1/the-probability-of-the-next-terrorist-attack,"When planning for potential disasters, we often focus on hurricanes that might ravage coastal areas or tornados and droughts that strike rural parts of the Midwest. But researchers are also working to uncover the vulnerabilities faced by urban areas and that’s the focus of this episode of Stats and Stories with guest Walter W. Piegorsch (4/1/2021)",,191
181,3/25/2021,How Where You Live Affects Your Health,Leslie McClure,27:35:00,"1,934",Health,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/health1/how-where-you-live-effects-your-health,After over a year of being stuck in our houses. A lot of us are appreciating the outdoors on our planet a little bit more healthy environment and more our focus on this episode of Stats and Stories with guest Leslie McClure.,,190
180,3/18/2021,An Anti-Racist Approach to Data Science,Emily Hadley,25:21:00,"2,052",Society,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/society1/an-anti-racist-approach-to-data-science,Individuals and institutions around the United States are grappling with the history of racism in the country as well as the ways they themselves have contributed to it. Many are working to adopt anti-racist approaches to their work and in their everyday lives. How to be an anti-racist data scientist is the focus of this episode of Stats and Stories with guest Emily Hadley.,,189
179,3/11/2021,Migration Math,Marie McAuliffe,27:13:00,"1,843",Society,Long,"John, Rosemary, Richard",Switzerland,Zoom,https://statsandstories.net/society1/migration-math,"As COVID has ravaged the globe, it's overshadowed another ongoing global story of migration, according to new data from the International Organization for Migration, migrants make up 3.5%. of the total global population with the top five countries of origin being India and Mexico China, Russia and Syria that information and more can be found in the IOM 2020 world migration report, that's the focus of this episode of Stats and Stories with guest Marie McAuliffe.",,188
178,3/4/2021,Cautionary Tales,Tim Harford,8:22:00,"1,825",Media,Short,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/media1/cautionary-tales,"Everyone has a podcast nowadays. Whether it's about sports, politics or features some of the most fascinating discussions on the current state of statistical communication in the world. No matter the topic, it seems like someone, somewhere is talking into a microphone about it. Getting someone to act on your podcast however, that's a lot more rare. Today we're here to discuss podcasting with our guest Tim Harford.",,187
177,2/25/2021,The Numbers Behind America’s Pastime,Christopher Phillips,27:23:00,"2,059",Sports,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/sports1/the-numbers-behind-americas-pastime,"Much of the United States is buried under snow and ice, leaving many dreaming of spring. For some – that dream of spring brings with it a longing to hear the crack of a ball on a bat or the taste of peanuts in a ballpark. With the spring thaw comes baseball season and, with it, the inevitable number crunching associated with the sport. Data and baseball is the focus of this episode of Stats and Stories with guest Christopher J. Phillips.",,186
176,2/18/2021,"Everything Makes Sense with Statistics, Right?",Tim Harford,26:41:00,"2,140",Society,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/society1/everything-makes-sense-with-statistics-right,"Our lives are framed, every day by data and statistics, though we may not always be aware of that fact. Helping us make sense of this universe of data is the goal of many an economist, statistician, and journalist. It’s also the focus of this episode of Stats and Stories with guest Tim Harford.",,185
175,2/11/2021,"Love, Sex and the Pandemic ",Debby Herbenick,26:57:00,"2,003",Society,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/society1/love-sex-and-the-pandemic,The COVID pandemic has complicated everything from school to work to grocery shopping. The need to physically distance from people not in our homes has made it difficult to maintain friendships or causal relationships while being stuck at home with a significant other for months on end can make even the biggest house seem tiny. COVID’s impact on relationships and sex is the focus of this episode of Stats and Stories with guest Debby Herbenick.,,184
174,2/4/2021,Lying With Statistics,Joel Best,25:21:00,"2,271",Methods,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/methods/lying-with-statistics,"If the last year’s done anything, it’s made clear how important statistics and data can be to our understanding of the world. It’s not just statisticians and public health officials pouring over things like positivity rates or infection rates, the general public’s also become more familiar with the concepts. But, sometimes, highly visible data can lead to some highly suspect conclusions. And bad data, like bad romance, can lead to bad decisions. Damned lies and dubious data are the focus of this episode of Stats and Stories with guest Joel Best.",,183
173,1/28/2021,The Recent (Regrettable) Rise of Race Science,Angela Saini,31:22:00,"2,109",Society,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/society1/the-recent-regrettable-rise-of-race-science,"Race science, the belief that there are inherent biological differences between human races, has been “repeatedly debunked” in the words of the Guardian, and yet, like a pseudo-scientific hydra it raises its heard every so often. Most recently race science is the return of scientific racism is the focus of this episode of Stats and Stories, where we explore the statistics behind the stories and the stories behind the statistics with guest Angela Saini.",,182
172,1/21/2021,Making Decisions During the Pandemic,Baruch Fischhoff,30:51:00,"2,003",Society,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/society1/making-decisions-during-the-pandemic,"Risk is a tricky thing. We like to think we understand it but when it gets down to brass tacks it can be harder to wrap your brain around things like acceptable or unacceptable risk. How do you define it how do people understand risk. The COVID-19 pandemic has only highlighted the trouble we sometimes have understanding risk, communicating risk is a focus of this episode of Stats and Stories with Baruch Fischhoff.",,181
171,1/14/2021,Sports Data in the U.K. ,Robert Mastrodomenico,7:45:00,"1,730",Sports,Short,"John, Richard",United Kingdom,Zoom,https://statsandstories.net/sports1/sports-data-in-the-uk,"What are the odds of your favorite team's victory, how much should they spend on a big name player, we discuss this other topics this on today's episode of Stats+Stories with guest Robert Mastrodomenico",,180
170,1/7/2021,Octopus: A New Way To Publish,Alexandra Freeman,10:06:00,"1,907",Methods,Short,John,United Kingdom,Zoom,https://statsandstories.net/methods/octopus-a-new-way-to-publish,"Scientific publications drive science, well that's stating the obvious, isn't it, but the form and way it's processed is historic. It's historic in the sense that there are journals that are gatekeepers, their editors that are sending out submissions to reviewers, who are then providing comments, and then it's almost that it's set in stone and locked in place for the future. But there are challenges to this and one of the challenges is the focus of this episode of Stats+Short Stories with guest Alexandra Freeman.",,179
169,12/31/2020,The Statistics of the (Stay-at-Home) Year,Jennifer Rogers,27:15:00,"1,980",Entertainment,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/entertainment1/the-statistics-of-the-stay-at-home-year,"Scientific publications drive science, well that's stating the obvious, isn't it, but the form and way it's processed is historic. It's historic in the sense that there are journals that are gatekeepers, their editors that are sending out submissions to reviewers, who are then providing comments, and then it's almost that it's set in stone and locked in place for the future. But there are challenges to this and one of the challenges is the focus of this episode of Stats+Short Stories with guest Alexandra Freeman.",,178
168,12/17/2020,How We Understand Uncertainty,"Claudia Schneider, Alexandra Freeman",29:06:00,"2,332",Society,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/society1/how-we-understand-uncertainty,"Communicating risk is difficult at any time but during a pandemic, communicating risk well can be what keeps a disease from spreading, as one public health official has put it, like wildfire. During the COVID 19 pandemic, experts, journalists, and elected officials have all been working to find the most effective way to communicate risk to the public. Helping people understand their risks of infection – or of infecting others – can be the thing that gets them to follow mask mandates or other public health advisories. Effectively communicating risk in COVID 19 is the focus of this episode of Stats and Stories with guests Alexandra Freeman and Claudia Schneider.",,177
167,12/10/2020,Statisticians for Society,Robert Mastrodomenico,27:31:00,"1,985",Society,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/society1/statisticians-for-society,"Data can be powerful and persuasive rhetorical tools for nonprofits as they explain the work they day and ask for monetary support from various entities, but not all nonprofits can afford to hire a statistician to crunch numbers for them. An organization in the UK is working to meet the statistical needs of nonprofits and is the focus of this episode of Stats and Stories with guest Robert Mastrodomenico.",,176
166,12/3/2020,The Last Legs of Local Journalism,Penelope Abernathy,25:32:00,"1,768",Media,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/media1/the-last-legs-of-local-journalism,"Cities and small towns across America once woke up to their local newspaper on their doorstep. Over the last several decades, though, those newspapers have begun to disappear – a University of North Carolina at Chapel Hill study showing that disappearance has heralded the rise of news deserts in the United States. That’s the focus of this episode of Stats and Stories with guest Penelope Abernathy.",,175
165,11/19/2020,The Women of Hull House,Sharon Lohr,11:55:00,"1,869",Society,Short,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/society1/the-women-of-hull-house,"Of all places to look for statistics, who’d have thought a settlement house would be a place that you would find insight into data of their communities. However, that’s the focus of this episode of Stats+Short Stories with guest Sharon Lohr.",,174
164,11/12/2020,Monitoring Health Data,Glen Wright Colopy,34:28:00,"4,337",Health,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/health1/monitoring-health-data,"When an individual is admitted to a hospital they are quite often hooked up to a pan plea of monitoring devices all designed to help the doctors and nurses caring for them meet their medical needs. Increasingly hospitals are exploring how machine learning can help them better monitor patient vital signs and that’s a focus of this episode of Stats and Stories with guest and host of the Pod of Asclepius, Glen Wright Colopy",,173
163,11/5/2020,What it's Like Reporting on Statistics for the BBC,Robert Cuffe,28:11:00,"2,053",Media,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/media1/what-its-like-reporting-on-statistics-for-the-bbc,"Being able to effectively communicate data is becoming an increasingly important part of a journalists job, so much so that news outlets are expanding their staffs to include data scientists and statisticians and that is the focus of this episode of Stats and Stories with guest Robert Cuffe.",,172
162,10/29/2020,Can You Still Predict Elections? ,Andrew Gelman,28:41:00,"2,101",Politics,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/politics1/can-you-still-predict-elections,"With the 2020 U-S presidential election all but upon us, media are rife with prognostications about which way voters are going to swing. Will reliably red states stay red or will voters produce a blue wave that crashes across the country? Will economic uncertainty trump concerns over COVID 19? Is political polarization really as set-in-stone as some have suggested? Understanding voter behavior is a focus of this episode of Stats and Stories with guest Andrew Gelman.",,171
161,10/22/2020,Teaching Statistics After Apartheid ,Delia North,26:37:00,"1,909",Education,Long,"John, Rosemary, Richard",South Africa,Zoom,https://statsandstories.net/education1/teaching-statistics-after-apartheid,Stats professors and teachers continually looking for the best way to help their students connect to the subject. It can be a complicated process becoming even more fraught during moments of political upheaval or revolutionary change. That's the focus of this episode of stats and stories with guest Delia North.,,170
160,10/15/2020,2020 Census Concerns,Rob Santos,28:42:00,"1,905",Politics,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/politics1/2020-census-concerns,The US Census Bureau is conducting its annual count of the American population this year. Concerns have emerged about this particular census and these have included potential impact of a citizenship question. The current status of the 2020 Census is the focus of this episode of Stats and Stories with guest Rob Santos,,169
159,10/8/2020,Planning for a Pandemic ,"Ron Fricker, Steve Rigdon",23:46:00,"1,891",Health,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/health1/planning-for-a-pandemic,"There are a lot of facts and figures to sift through when it comes to the COVID 19 pandemic – there are death rates and infection rates to consider, as well as the paths of infection in a particular community. Investigating the pandemic is the focus of this episode of Stats and Stories with guests Ron Fricker and Steve Rigdon.",,168
158,10/1/2020,Crime Statistics,Sharon Lohr,26:51:00,"2,131",Society,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/society1/crime-statistics,"If you’ve been following the news much then you may have noticed reporters beginning to explore how COVID is impacting crime rates around the country. . One of the problems becomes tying those changes directly to COVID and of course, a long-standing issue when it comes to crime rates is understanding how we measure crime in the first place. Measuring crime is the focus of this episode of Stats and Stories with guest Sharon Lohr.",,167
157,9/24/2020,Big Data and Big Laughs ,Timandra Harkness,36:59:00,"2,157",Society,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/society1/rss2,"Statistics is generally a field not known for its humor, at least to the broad public. Which is a shame because humor is a way to make complicated subjects – like statistics or big data – accessible to general audiences. The intersection of humor and stats is the focus of this episode of Stats and Stories with guest Timandra Harkness,",RSS Conference,166
156,9/17/2020,How to Understand the World Better With Statistics ,Tim Harford,36:26:00,"2,549",Society,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/society1/how-to-understand-the-world-better-with-statistics,"We live at a curious moment, when data and information from a variety of sources overwhelm our senses and when there are people who are working to manipulate some of that data, spreading disinformation and discord. Overcoming that distrust and helping people see how the world adds up is the focus of this episode of Stats and Stories with guest Tim Harford.",RSS Conference,165
155,9/10/2020,Statisticians React to the News ,"Megan Higgs, Ashley Steel",29:46:00,"2,117",Media,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/media1/statisticians-react-to-the-news,"There's a lot of statistical information shared every day in news stories. Everything from COVID cases to economic data is Quantified help us better understand our world. But do news presentations really help us do that? And what do statisticians think about the way journalists are covering their work, that’s the topic behind this episode of Stats and Stories with guest Megan Higgs and Ashley Steel.",,164
154,9/3/2020,19th Century Data Visualization ,Alison Hedley,25:00:00,"2,422",Methods,Long,"John, Rosemary, Richard",United Kingdom,Zoom,https://statsandstories.net/methods/19th-century-data-visualization,"Data visualization is a skill that's becoming increasingly important. In feels as wide-ranging as Education, Medicine and Journalism. It's also something that can seem incredibly complicated and imitating.The arguments made by such visualisations is a focus of this episode of Stats and Stories where we explore the statistics behind the stories with guest Alison Hedley.",,163
153,8/27/2020,Teaching Better ,Ellen Yezierski,30:42:00,"2,156",Education,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/education1/teaching-better,"Recent COVID-forced move to online instruction for both K through 12 and higher-ed has come an intense discussion of best teaching practices in digital spaces. While the focus has been on teaching online, the conversation has foregrounded long-standing debates over pedagogy and practice in education. Understanding what works in the classroom is the focus of this episode of Stats and Stories with guest Ellen Yezierski.",,162
152,8/20/2020,News Deserts,Tom Stites,30:49:00,"1,905",Media,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/media1/news-deserts,"Journalists are tasked with helping citizens understand how their communities are run. However, that’s becoming increasingly difficult as local new rooms around the country shrink or are shuttered completely. Journalism and news deserts are the focus of this episode of Stats and Stories with guest Tom Stites",,161
151,8/13/2020,The State of Human Rights in the Pandemic ,"Megan Price, Maria Gargiulo",27:51:00,"1,970",Society,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/society1/the-state-of-human-rights-in-the-pandemic,"Almost every day we seem to get new data about the COVID crisis. Whether it’s infection rates, death rates, testing rates, false-negative rates, there’s a lot of information to cull through. Making sense of COVID data is the focus of this episode of Stats and Stories with Megan Price and Maria Gargiulo.",,160
150,8/6/2020,Messaging Medicine,Sandra Alba,24:49:00,"2,045",Health,Long,"John, Rosemary, Richard",Netherlands,Zoom,https://statsandstories.net/health1/messaging-medicine,"The work of health researchers is vitally important to the safety and well-being of people around the world, with the COVID-19 crisis making that all too clear. However, health researchers are facing a crisis of their own, a crisis of trust.The issue of trust and health research is a focus of this episode of Stats and Stories with guest Sandra Alba. Alba is an epidemiologist at KIT Royal Tropical Institute with a background in medical statistics. She has 15 years’ experience in the application of statistical and epidemiological methods to evaluate public health programs primarily low- and middle-income countries. (8/6/20)",,159
149,7/30/2020,Measuring Performance,Nick Fisher,26:05:00,"1,903",Methods,Long,"John, Rosemary, Richard",Australia,Zoom,https://statsandstories.net/methods/measuring-performance,"The use of statistics to improve processes and business industry government and academia is the focus of this episode of Stats and Stories with Deming Lecturer Award winner Nick Fisher. Fisher left his position as Chief Research Scientist at CSIRO  in 2001 to found ValueMetrics Australia, an R&D consultancy that carries out R&D in Performance Measurement, in which area he has consulted to a wide variety of business, industry and Government clients in Australia and overseas. (7/30/20)",,158
148,7/23/2020,Official Statistics in Asia and the Pacific ,Gemma Van Halderen,26:26:00,"1,772",Methods,Long,"John, Rosemary, Richard",Australia,Zoom,https://statsandstories.net/methods/official-statistics-in-asia-and-the-pacific,"Gemma Van Halderen explains how Economic Social Commission for Asia and the Pacific operates.  Van Halderen is Director of the Statistics Division in the United Nations Economic and Social Commission for Asia and the Pacific (ESCAP). Prior to joining ESCAP in June 2018, Gemma was a member of the Australian Bureau of Statistics (ABS) Executive Team, leading the transformation of ABS’ statistical programs and implementation of modernized statistical capabilities.",,157
147,7/16/2020,Risk Assessment Biases,Tarak Shah,28:32:00,"1,833",Society,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/society1/risk-assessment-biases,"Tarak Shah sheds light on the data used in pre trial risk assessment models. Shah is a data scientist at HRDAG, where he cleans and processes data and fits models in order to understand evidence of human rights abuses. Prior to his position at HRDAG, he was the Assistant Director of Prospect Analysis at University of California, Berkeley, in the University Development and Alumni Relations, where he developed tools and analytics to support major gift fundraising. ",,156
146,7/9/2020,Statistical Summer Transportation Safety,Joel Greenhouse,7:15:00,"1,696",Society,Short,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/society1/statistical-summer-transportation-safety,Joel Greenhouse explains some rules of thumb for when you’re on the road traveling. (7/9/20),,155
145,7/2/2020,Pets During Quarantine,Allen McConnell,26:01:00,"1,919",Society,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/society1/pets-during-quarantine,"Allen McConnell talks about how relationships with family and pets affect health and well-being, how people decode others’ nonverbal dis, and how self-nature representations influence pro-environmental action. McConnell is University Distinguished Professor and Chair of the Department of Psychology at Miami University.",,154
144,6/25/2020,13 Reasons Why' Association with Youth Suicide,Joel Greenhouse,23:46:00,"1,982",Society,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/society1/13-reasons-why-association-with-youth-suicide,Joel Greenhouse discusses his work as part of a team that studied the potential impact of a popular series '13 Reasons Why' on suicides in young people.,,153
143,6/18/2020,Big Data Policing,Sarah Brayne,29:36:00,"1,957",Society,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/society1/big-data-policing,"Sarah Brayne uses qualitative and quantitative methods to examine the social consequences of data-intensive surveillance practices. Her forthcoming book, Predict and Surveil: Data, Discretion, and the Future of Policing, draws on years of ethnographic research of the Los Angeles Police Department to understand how law enforcement uses predictive analytics and new surveillance technologies",,152
142,6/11/2020,The Most-Viewed Washington Post Article Ever,Harry Stevens,28:21:00,"2,014",Media,Long,"John, Rosemary, Richard",United States,Zoom,https://statsandstories.net/media1/the-most-viewed-washington-post-article-ever,Harry Stevens joined The Washington Post as a graphics reporter in 2019. His story featuring a simulation of pandemic spread in a closed population and the impact of social distancing. ,,151
141,6/4/2020,A Better Way to Test for Coronavirus,"Nick Fisher, Dennis Trewin",29:29:00,"1,833",Methods,Long,"John, Rosemary, Richard",Australia,Zoom,https://statsandstories.net/methods/a-better-way-to-test-for-coronavirus,"Nick Fisher left his position as Chief Research Scientist at CSIRO  in 2001 to found ValueMetrics Australia, an R&D consultancy that carries out R&D in Performance Measurement, in which area he has consulted to a wide variety of business, industry and Government clients in Australia and overseas. He is a Past President of the Statistical Society of Australia and of ISBIS, and was founding Editor-in-Chief of the ISI online journal Stat.",,150
